fused.ts,fused.H,fused.q[0],fused.q[1],fused.q[2],fused.q[3]
7433,-27.081421,0.999981,0.006107,-0.000424,0.000011
7474,-27.08172,0.999981,0.006141,-0.000425,0.000011
7536,-27.082191,0.999981,0.006178,-0.000434,0.000009
7597,-27.081644,0.999981,0.006211,-0.00042,0.000011
7659,-27.081223,0.99998,0.006241,-0.000414,0.000011
7700,-27.080996,0.99998,0.006274,-0.000412,0.000014
7761,-27.080822,0.99998,0.006319,-0.000415,0.000006
7823,-27.081451,0.99998,0.006359,-0.000402,0.000009
7864,-27.081905,0.99998,0.00639,-0.000387,0.000013
7925,-27.08112,0.999979,0.006422,-0.000403,0.000015
7987,-27.081127,0.999979,0.006459,-0.000384,0.000009
8048,-27.080297,0.999979,0.006477,-0.000374,0.000017
8090,-27.079899,0.999979,0.00651,-0.000369,0.000013
8152,-27.077053,0.999979,0.006523,-0.00038,0.000009
8213,-27.076244,0.999979,0.006535,-0.000374,0.000017
8254,-27.075878,0.999978,0.006549,-0.000378,0.000012
8315,-27.074795,0.999978,0.006576,-0.000381,0.000011
8377,-27.075144,0.999978,0.006608,-0.000372,0.000009
8418,-27.074789,0.999978,0.006634,-0.000361,0.00001
8480,-27.077295,0.999978,0.00667,-0.000348,0.000012
8541,-27.079456,0.999978,0.006686,-0.000342,0.000012
8603,-27.080891,0.999978,0.006703,-0.000331,0.000017
8644,-27.082315,0.999977,0.006717,-0.000319,0.000011
8706,-27.082668,0.999977,0.006719,-0.0003,0.000009
8768,-27.08408,0.999977,0.00674,-0.000304,0.000015
8808,-27.084429,0.999977,0.00675,-0.000291,0.000015
8870,-27.086567,0.999977,0.006759,-0.000275,0.000013
8931,-27.086916,0.999977,0.006778,-0.000285,0.00001
8993,-27.087612,0.999977,0.006792,-0.00029,0.000007
9034,-27.087593,0.999977,0.006805,-0.000282,0.00001
9096,-27.087572,0.999977,0.006803,-0.000268,0.00001
9157,-27.088627,0.999977,0.006821,-0.000257,0.000015
9198,-27.089338,0.999977,0.006837,-0.000248,0.000013
9260,-27.091106,0.999977,0.006826,-0.000259,0.000011
9321,-27.090405,0.999976,0.006862,-0.000242,0.000013
9383,-27.08931,0.999976,0.00687,-0.000234,0.000008
9424,-27.090353,0.999976,0.006894,-0.000227,0.000017
9486,-27.092133,0.999976,0.00689,-0.000225,0.000011
9547,-27.093925,0.999976,0.006906,-0.000216,0.000006
9588,-27.092875,0.999976,0.006911,-0.000201,0.000017
9650,-27.092131,0.999976,0.006917,-0.000191,0.000008
9712,-27.091053,0.999976,0.006908,-0.000185,0.000006
9752,-27.09067,0.999976,0.006912,-0.000182,0.000009
9814,-27.092058,0.999976,0.006921,-0.000163,0.000009
9876,-27.093145,0.999976,0.006942,-0.000137,0.000009
9917,-27.095249,0.999976,0.006963,-0.000125,0.000012
9979,-27.096025,0.999976,0.00698,-0.000137,0.000007
10040,-27.096724,0.999976,0.006988,-0.000147,0.000016
10081,-27.097076,0.999976,0.006983,-0.00014,0.000011
10143,-27.098106,0.999976,0.007001,-0.000143,0.000008
10204,-27.099815,0.999975,0.007018,-0.000141,0.000016
10246,-27.099604,0.999975,0.00703,-0.000145,0.000012
10308,-27.098888,0.999975,0.007042,-0.000147,0.000016
